,Fluxo de Caixa Diário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar.-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTAS,1-mar.-25,2-mar.-25,3-mar.-25,4-mar.-25,5-mar.-25,6-mar.-25,7-mar.-25,8-mar.-25,9-mar.-25,10-mar.-25,11-mar.-25,12-mar.-25,13-mar.-25,14-mar.-25,15-mar.-25,16-mar.-25,17-mar.-25,18-mar.-25,19-mar.-25,20-mar.-25,21-mar.-25,22-mar.-25,23-mar.-25,24-mar.-25,25-mar.-25,26-mar.-25,27-mar.-25,28-mar.-25,29-mar.-25,30-mar.-25,31-mar.-25,Total
,Receita,"0,00 ","2.500,00 ","890,00 ","0,00 ","0,00 ","5.494,50 ","0,00 ","0,00 ","0,00 ","540,00 ","0,00 ","0,00 ","0,00 ","324,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.253,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.996,00 ","0,00 ","54.018,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","68.015,62 "
,Vendas Cursos pelo o comercial,,,"890,00 ",,,,,,,"540,00 ",,,,"324,00 ",,,,,"1.253,00 ",,,,,,,,,,,,,"3.007,00 "
,Treinamentos B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamentos e consultorias B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamentos e consultorias Contratos antigos,,,,,,,,,,,,,,,,,,,,,,,,,,"54.018,12 ",,,,,,"54.018,12 "
,Vendas B2C - Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Venda B2C - Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Marketing B2B para clientes,,"2.500,00 ",,,,"5.494,50 ",,,,,,,,,,,,,,,,,,"2.996,00 ",,,,,,,,"10.990,50 "
,Vendas de Ferramentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Outras receitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Financeira,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Rendimentos de Aplicações Financeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Juros e Descontos Obtidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Deduções,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.823,11 ","0,00 ","0,00 ","323,46 ","0,00 ","0,00 ","0,00 ","14.964,34 ","0,00 ","0,00 ","0,00 ","22.110,91 "
,Simples Nacional,,,,,,,,,,,,,,,,,,,,,"6.823,11 ",,,,,,,"14.964,34 ",,,,"21.787,45 "
,Parcelamento Simples ,,,,,,,,,,,,,,,,,,,,,,,,"323,46 ",,,,,,,,"323,46 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Líquida ,"0,00 ","2.500,00 ","890,00 ","0,00 ","0,00 ","5.494,50 ","0,00 ","0,00 ","0,00 ","540,00 ","0,00 ","0,00 ","0,00 ","324,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.253,00 ","0,00 ","-6.823,11 ","0,00 ","0,00 ","2.672,54 ","0,00 ","54.018,12 ","0,00 ","-14.964,34 ","0,00 ","0,00 ","0,00 ","45.904,71 "
,Custos,"0,00 ","0,00 ","19.206,14 ","0,00 ","0,00 ","2.357,13 ","7,50 ","0,00 ","0,00 ","0,00 ","658,68 ","11,70 ","1.526,00 ","873,00 ","0,00 ","0,00 ","163,68 ","0,00 ","330,53 ","570,00 ","1.223,70 ","0,00 ","0,00 ","4.027,46 ","497,80 ","12.943,57 ","223,69 ","0,00 ","0,00 ","0,00 ","3.393,97 ","48.014,55 "
,Custos com Mercadorias Vendidas,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Fornecedores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Compra de ferramentas para vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Serviços Prestados,"0,00 ","0,00 ","1.506,06 ","0,00 ","0,00 ","2.357,13 ","7,50 ","0,00 ","0,00 ","0,00 ","658,68 ","11,70 ","0,00 ","873,00 ","0,00 ","0,00 ","163,68 ","0,00 ","330,53 ","570,00 ","600,14 ","0,00 ","0,00 ","4.027,46 ","497,80 ","12.943,57 ","223,69 ","0,00 ","0,00 ","0,00 ","3.393,97 ","28.164,91 "
,Alimentação prestação de serviços,,,"207,30 ",,,"1.255,59 ",,,,,,,,,,,"59,81 ",,,,"44,99 ",,,"214,97 ","247,80 ","366,07 ",,,,,"18,00 ","2.414,53 "
,Locação de veículos,,,"523,16 ",,,"236,82 ","7,50 ",,,,,,,,,,"103,87 ",,"13,53 ",,"555,15 ",,,"502,38 ","250,00 ","5,00 ","223,69 ",,,,"1.055,97 ","3.477,07 "
,Materiais para treinamentos,,,,,,,,,,,"658,68 ",,,,,,,,"40,00 ",,,,,"1.095,20 ",,,,,,,,"1.793,88 "
,Serviços de Terceiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Hotel prestação de serviços,,,,,,"570,00 ",,,,,,,,"513,00 ",,,,,"277,00 ","570,00 ",,,,,,"572,50 ",,,,,"2.320,00 ","4.822,50 "
,Passagem aérea,,,"775,60 ",,,,,,,,,,,,,,,,,,,,,"2.214,91 ",,,,,,,,"2.990,51 "
,Comissão parceiros ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão lançamento de marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão SDR,,,,,,,,,,,,,,"360,00 ",,,,,,,,,,,,,,,,,,"360,00 "
,Comissão parceiros - Rolamentos,,,,,,,,,,,,,,,,,,,,,,,,,,"12.000,00 ",,,,,,"12.000,00 "
,Outros custos de serviços prestados,,,,,,"294,72 ",,,,,,"11,70 ",,,,,,,,,,,,,,,,,,,,"306,42 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Mão de Obra ,"0,00 ","0,00 ","17.700,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.526,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","623,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.849,64 "
,Salário,,,"8.100,08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.100,08 "
,Pró-Labore,,,"9.600,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.600,00 "
,Décimo terceiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Rescisão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,FGTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IRPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Alimentação Escritório,,,,,,,,,,,,,"1.526,00 ",,,,,,,,,,,,,,,,,,,"1.526,00 "
,Vale transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamento e Desenvolvimento,,,,,,,,,,,,,,,,,,,,,"623,56 ",,,,,,,,,,,"623,56 "
,Outras Custos com Mão de Obra Direta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Lucro Bruto,"0,00 ","2.500,00 ","-18.316,14 ","0,00 ","0,00 ","3.137,37 ","-7,50 ","0,00 ","0,00 ","540,00 ","-658,68 ","-11,70 ","-1.526,00 ","-549,00 ","0,00 ","0,00 ","-163,68 ","0,00 ","922,47 ","-570,00 ","-8.046,81 ","0,00 ","0,00 ","-1.354,92 ","-497,80 ","41.074,55 ","-223,69 ","-14.964,34 ","0,00 ","0,00 ","-3.393,97 ","-2.109,84 "
,Despesas Operacionais,"0,00 ","0,00 ","26.914,71 ","0,00 ","0,00 ","785,21 ","9,37 ","0,00 ","0,00 ","1.275,40 ","423,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.816,95 ","0,00 ","13,90 ","1.046,60 ","6.472,01 ","0,00 ","0,00 ","1.067,18 ","166,40 ","1.227,15 ","0,00 ","0,00 ","0,00 ","0,00 ","3.200,00 ","44.418,77 "
,Despesas Administrativas,"0,00 ","0,00 ","331,22 ","0,00 ","0,00 ","243,15 ","0,00 ","0,00 ","0,00 ","1.200,00 ","253,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13,90 ","1.046,60 ","2.854,88 ","0,00 ","0,00 ","88,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.032,35 "
,Telefone e Internet ,,,"314,42 ",,,,,,,,,,,,,,,,,,"142,72 ",,,,,,,,,,,"457,14 "
,Celular-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Energia Elétrica,,,,,,,,,,,,,,,,,,,,,"124,62 ",,,,,,,,,,,"124,62 "
,Aluguel e Condomínio,,,,,,,,,,,,,,,,,,,,,"1.877,74 ",,,,,,,,,,,"1.877,74 "
,Água,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IPTU e Taxas Públicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas de Viagens-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Contabilidade,,,,,,,,,,,,,,,,,,,,,"319,59 ",,,,,,,,,,,"319,59 "
,Licenças de softwares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Consultoria Financeira,,,,,,,,,,"1.200,00 ",,,,,,,,,,,,,,,,,,,,,,"1.200,00 "
,Serviços de terceiros-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Manutenção escritório,,,,,,,,,,,,,,,,,,,,,"130,21 ",,,,,,,,,,,"130,21 "
,Manutenção Máquinas e Equipamentos-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Materiais de Expediente/Escritório,,,"16,80 ",,,,,,,,,,,,,,,,"13,90 ",,,,,,,,,,,,,"30,70 "
,Faxina do escritório,,,,,,,,,,,,,,,,,,,,"500,00 ",,,,,,,,,,,,"500,00 "
,Seguros,,,,,,,,,,,"253,89 ",,,,,,,,,,,,,"88,71 ",,,,,,,,"342,60 "
,Gasolina / Combustível-ADM,,,,,,"243,15 ",,,,,,,,,,,,,,,,,,,,,,,,,,"243,15 "
,Estacionamento / Pedágios-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Reembolso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Sistemas ADM,,,,,,,,,,,,,,,,,,,,"546,60 ","260,00 ",,,,,,,,,,,"806,60 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas com Pessoal,"0,00 ","0,00 ","23.736,07 ","0,00 ","0,00 ","125,00 ","0,00 ","0,00 ","0,00 ","0,00 ","170,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.816,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.200,00 ","29.048,02 "
,Salário-ADM,,,"9.336,07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.336,07 "
,Pró-Labore-ADM,,,"14.400,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.400,00 "
,Décimo terceiro-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Rescisão-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IRRF-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,FGTS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale transporte-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale Alimentação-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.200,00 ","3.200,00 "
,Convênio Medico-ADM,,,,,,,,,,,,,,,,,"1.816,95 ",,,,,,,,,,,,,,,"1.816,95 "
,Exames ocupacionais-ADM,,,,,,,,,,,"48,00 ",,,,,,,,,,,,,,,,,,,,,"48,00 "
,Treinamento e Desenvolvimento-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Confraternização,,,,,,"125,00 ",,,,,"122,00 ",,,,,,,,,,,,,,,,,,,,,"247,00 "
,Consultoria de Recursos Humanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Uniformes e EPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
