,Fluxo de Caixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Ano do Fluxo:,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,12,,,,,,,,,,,,,,,,,,,,,,
,2025,JANEIRO,,,,FEVEREIRO,,,,MARÇO,,,,ABRIL,,,,MAIO,,,,JUNHO,,,,JULHO,,,,AGOSTO,,,,SETEMBRO,,,,OUTUBRO,,,,NOVEMBRO,,,,DEZEMBRO,,,,Total Ano,,,,,1° Semestre,,,,,1° trimestre,,,,,2° trimestre,,,
,, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Previsto, Realizado, AH, AV, Total Previsto, Total Realizado, AH, AV,, Total Previsto, Total Realizado, AH, AV,, Total Previsto, Total Realizado, AH, AV,, Total Previsto, Total Realizado, AH, AV
, Receita,"61.994,00 ","104.990,13 ",169%,100%,"145.688,00 ","52.569,83 ",36%,100%,"238.088,00 ","68.015,62 ",29%,100%,"246.338,00 ","84.392,14 ",34%,100%,"341.588,00 ","259.970,00 ",76%,100%,"336.588,00 ","80.866,36 ",24%,100%,"309.088,00 ","109.262,26 ",35%,100%,"374.088,00 ","0,00 ",0%,100%,"255.688,00 ","0,00 ",0%,100%,"285.688,00 ","0,00 ",0%,100%,"305.272,00 ","0,00 ",0%,100%,"222.888,00 ","0,00 ",0%,100%,"3.122.996,00 ","760.066,34 ",24%,100%,,"1.370.284,00 ","650.804,08 ",47%,100%,,"445.770,00 ","225.575,58 ",51%,100%,,"924.514,00 ","425.228,50 ",46%,100%
,Vendas Cursos pelo o comercial,,"6.328,61 ",0%,6%,,"3.224,90 ",0%,3%,,"3.007,00 ",0%,3%,,"7.978,44 ",0%,8%,,"1.940,00 ",0%,2%,,"6.509,30 ",0%,6%,,"3.319,30 ",0%,3%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,"0,00 ","32.307,55 ",0%,31%,,"0,00 ","28.988,25 ",0%,4%,,"0,00 ","12.560,51 ",0%,6%,,"0,00 ","16.427,74 ",0%,4%
,Treinamentos B2B,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%
,Treinamentos e consultorias B2B,"54.000,00 ","0,00 ",0%,0%,"67.000,00 ","0,00 ",0%,0%,"90.000,00 ","0,00 ",0%,0%,"93.750,00 ","64.855,00 ",69%,62%,"154.000,00 ","22.855,00 ",15%,22%,"154.000,00 ","10.000,00 ",6%,10%,"154.000,00 ","14.100,00 ",9%,13%,"154.000,00 ","0,00 ",0%,0%,"154.000,00 ","0,00 ",0%,0%,"154.000,00 ","0,00 ",0%,0%,"154.000,00 ","0,00 ",0%,0%,"117.000,00 ","0,00 ",0%,0%,"1.499.750,00 ","111.810,00 ",7%,106%,,"612.750,00 ","97.710,00 ",16%,15%,,"211.000,00 ","0,00 ",0%,0%,,"401.750,00 ","97.710,00 ",24%,23%
,Treinamentos e consultorias Contratos antigos,,"85.167,02 ",0%,81%,"60.694,00 ","35.847,43 ",59%,34%,"137.594,00 ","54.018,12 ",39%,51%,"140.094,00 ","0,00 ",0%,0%,"165.094,00 ","224.178,98 ",136%,214%,"170.094,00 ","53.364,56 ",31%,51%,"142.594,00 ","80.628,46 ",57%,77%,"197.594,00 ","0,00 ",0%,0%,"89.194,00 ","0,00 ",0%,0%,"119.194,00 ","0,00 ",0%,0%,"118.778,00 ","0,00 ",0%,0%,"93.394,00 ","0,00 ",0%,0%,"1.434.318,00 ","533.204,57 ",37%,508%,,"673.570,00 ","452.576,11 ",67%,70%,,"198.288,00 ","175.032,57 ",88%,78%,,"475.282,00 ","277.543,54 ",58%,65%
,Vendas B2C - Marketing,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,,"0,00 ",0%,0%,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%,,"0,00 ","0,00 ",0%,0%
