,Fluxo de Caixa Diário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mai.-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTAS,1-mai.-25,2-mai.-25,3-mai.-25,4-mai.-25,5-mai.-25,6-mai.-25,7-mai.-25,8-mai.-25,9-mai.-25,10-mai.-25,11-mai.-25,12-mai.-25,13-mai.-25,14-mai.-25,15-mai.-25,16-mai.-25,17-mai.-25,18-mai.-25,19-mai.-25,20-mai.-25,21-mai.-25,22-mai.-25,23-mai.-25,24-mai.-25,25-mai.-25,26-mai.-25,27-mai.-25,28-mai.-25,29-mai.-25,30-mai.-25,31-mai.-25,Total
,Receita,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.494,50 ","214.627,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","350,00 ","0,00 ","0,00 ","0,00 ","26.700,00 ","0,00 ","0,00 ","2.998,00 ","0,00 ","9.800,00 ","0,00 ","0,00 ","0,00 ","259.970,00 "
,Vendas Cursos pelo o comercial,,,,,,,"1.590,00 ",,,,,,,,,,,,"350,00 ",,,,,,,,,,,,,"1.940,00 "
,Treinamentos B2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamentos e consultorias B2B,,,,,,,"15.555,00 ",,,,,,,,,,,,,,,,,,,,,"7.300,00 ",,,,"22.855,00 "
,Treinamentos e consultorias Contratos antigos,,,,,,,"197.478,98 ",,,,,,,,,,,,,,,,"26.700,00 ",,,,,,,,,"224.178,98 "
,Vendas B2C - Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Venda B2C - Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Marketing B2B para clientes,,,,,,"5.494,50 ",,,,,,,,,,,,,,,,,,,,"2.998,00 ",,"2.500,00 ",,,,"10.992,50 "
,Vendas de Ferramentas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Outras receitas,,,,,,,"3,52 ",,,,,,,,,,,,,,,,,,,,,,,,,"3,52 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Financeira,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Rendimentos de Aplicações Financeiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Juros e Descontos Obtidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Deduções,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","48.365,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","48.365,21 "
,Simples Nacional,,,,,,,"47.561,69 ",,,,,,,,,,,,,,,,,,,,,,,,,"47.561,69 "
,Parcelamento Simples ,,,,,,,"803,52 ",,,,,,,,,,,,,,,,,,,,,,,,,"803,52 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Receita Líquida ,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.494,50 ","166.262,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","350,00 ","0,00 ","0,00 ","0,00 ","26.700,00 ","0,00 ","0,00 ","2.998,00 ","0,00 ","9.800,00 ","0,00 ","0,00 ","0,00 ","211.604,79 "
,Custos,"0,00 ","8.425,12 ","0,00 ","0,00 ","0,00 ","0,00 ","40.373,31 ","720,00 ","0,00 ","0,00 ","0,00 ","13.267,76 ","0,00 ","0,00 ","153,50 ","3.184,35 ","0,00 ","0,00 ","0,00 ","651,00 ","154,50 ","0,00 ","6.266,02 ","0,00 ","0,00 ","3.840,77 ","801,00 ","0,00 ","0,00 ","0,00 ","0,00 ","77.837,33 "
,Custos com Mercadorias Vendidas,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
,Fornecedores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Compra de ferramentas para vendas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Serviços Prestados,"0,00 ","312,31 ","0,00 ","0,00 ","0,00 ","0,00 ","25.236,99 ","720,00 ","0,00 ","0,00 ","0,00 ","13.267,76 ","0,00 ","0,00 ","153,50 ","2.258,52 ","0,00 ","0,00 ","0,00 ","651,00 ","154,50 ","0,00 ","693,00 ","0,00 ","0,00 ","3.840,77 ","801,00 ","0,00 ","0,00 ","0,00 ","0,00 ","48.089,35 "
,Alimentação prestação de serviços,,,,,,,"1.456,56 ",,,,,"103,86 ",,,"27,00 ","182,74 ",,,,,,,,,,"327,50 ",,,,,,"2.097,66 "
,Locação de veículos,,,,,,,"2.899,78 ",,,,,"1.768,72 ",,,,"972,15 ",,,,,,,"480,00 ",,,"536,40 ",,,,,,"6.657,05 "
,Materiais para treinamentos,,,,,,,"989,80 ",,,,,,,,"126,50 ","436,25 ",,,,"651,00 ","154,50 ",,,,,"918,10 ",,,,,,"3.276,15 "
,Serviços de Terceiros,,,,,,,,,,,,,,,,"107,38 ",,,,,,,,,,,,,,,,"107,38 "
,Hotel prestação de serviços,,"312,31 ",,,,,"1.402,06 ","720,00 ",,,,,,,,,,,,,,,"213,00 ",,,,,,,,,"2.647,37 "
,Passagem aérea,,,,,,,"2.239,43 ",,,,,,,,,,,,,,,,,,,"2.058,77 ",,,,,,"4.298,20 "
,Comissão parceiros ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Junior,,,,,,,,,,,,"11.395,18 ",,,,,,,,,,,,,,,,,,,,"11.395,18 "
,Comissão Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão lançamento de marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Comissão Closer,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,50 ",,,,,"400,50 "
,Comissão SDR,,,,,,,,,,,,,,,,"560,00 ",,,,,,,,,,,"400,50 ",,,,,"960,50 "
,Comissão parceiros - Rolamentos,,,,,,,"16.249,36 ",,,,,,,,,,,,,,,,,,,,,,,,,"16.249,36 "
,Outros custos de serviços prestados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Custos com Mão de Obra ,"0,00 ","8.112,81 ","0,00 ","0,00 ","0,00 ","0,00 ","15.136,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","925,83 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.573,02 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","29.747,98 "
,Salário,,"8.112,81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.112,81 "
,Pró-Labore,,,,,,,"12.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,"12.000,00 "
,Décimo terceiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Rescisão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,FGTS,,,,,,,,,,,,,,,,,,,,,,,"5.560,02 ",,,,,,,,,"5.560,02 "
,IRPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Alimentação Escritório,,,,,,,"974,00 ",,,,,,,,,,,,,,,,"13,00 ",,,,,,,,,"987,00 "
,Vale transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamento e Desenvolvimento,,,,,,,"2.162,32 ",,,,,,,,,"925,83 ",,,,,,,,,,,,,,,,"3.088,15 "
,Outras Custos com Mão de Obra Direta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Lucro Bruto,"0,00 ","-8.425,12 ","0,00 ","0,00 ","0,00 ","5.494,50 ","125.888,98 ","-720,00 ","0,00 ","0,00 ","0,00 ","-13.267,76 ","0,00 ","0,00 ","-153,50 ","-3.184,35 ","0,00 ","0,00 ","350,00 ","-651,00 ","-154,50 ","0,00 ","20.433,98 ","0,00 ","0,00 ","-842,77 ","-801,00 ","9.800,00 ","0,00 ","0,00 ","0,00 ","133.767,46 "
,Despesas Operacionais,"0,00 ","8.925,31 ","0,00 ","0,00 ","1.015,60 ","0,00 ","29.652,75 ","0,00 ","0,00 ","0,00 ","0,00 ","3.724,08 ","0,00 ","0,00 ","200,00 ","5.766,63 ","0,00 ","0,00 ","2.304,64 ","0,00 ","0,00 ","100,00 ","1.329,00 ","0,00 ","0,00 ","1.088,97 ","207,49 ","0,00 ","3.403,65 ","0,00 ","0,00 ","57.718,12 "
,Despesas Administrativas,"0,00 ","0,00 ","0,00 ","0,00 ","365,99 ","0,00 ","1.222,90 ","0,00 ","0,00 ","0,00 ","0,00 ","993,92 ","0,00 ","0,00 ","0,00 ","1.037,23 ","0,00 ","0,00 ","2.304,64 ","0,00 ","0,00 ","100,00 ","179,00 ","0,00 ","0,00 ","358,71 ","0,00 ","0,00 ","155,00 ","0,00 ","0,00 ","6.717,39 "
,Telefone e Internet ,,,,,"315,73 ",,,,,,,,,,,,,,"139,90 ",,,,,,,,,,,,,"455,63 "
,Celular-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Energia Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Aluguel e Condomínio,,,,,,,,,,,,,,,,,,,"1.877,74 ",,,,,,,,,,,,,"1.877,74 "
,Água,,,,,,,,,,,,"240,03 ",,,,,,,,,,,,,,,,,,,,"240,03 "
,IPTU e Taxas Públicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas de Viagens-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Contabilidade,,,,,,,,,,,,,,,,"319,59 ",,,,,,,"179,00 ",,,,,,,,,"498,59 "
,Licenças de softwares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Consultoria Financeira,,,,,,,"1.200,00 ",,,,,,,,,,,,,,,,,,,,,,,,,"1.200,00 "
,Serviços de terceiros-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Manutenção escritório,,,,,,,,,,,,,,,,,,,,,,"100,00 ",,,,,,,,,,"100,00 "
,Manutenção Máquinas e Equipamentos-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,"270,00 ",,,,,,"270,00 "
,Materiais de Expediente/Escritório,,,,,"50,26 ",,"22,90 ",,,,,,,,,"171,22 ",,,"27,00 ",,,,,,,,,,"155,00 ",,,"426,38 "
,Faxina do escritório,,,,,,,,,,,,"500,00 ",,,,,,,,,,,,,,,,,,,,"500,00 "
,Seguros,,,,,,,,,,,,"253,89 ",,,,,,,,,,,,,,"88,71 ",,,,,,"342,60 "
,Gasolina / Combustível-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Estacionamento / Pedágios-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Reembolso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Sistemas ADM,,,,,,,,,,,,,,,,"546,42 ",,,"260,00 ",,,,,,,,,,,,,"806,42 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Despesas com Pessoal,"0,00 ","8.925,31 ","0,00 ","0,00 ","0,00 ","0,00 ","25.781,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","200,00 ","1.914,25 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.200,00 ","0,00 ","0,00 ","40.021,21 "
,Salário-ADM,,"8.925,31 ",,,,,,,,,,,,,"200,00 ",,,,,,,,,,,,,,,,,"9.125,31 "
,Pró-Labore-ADM,,,,,,,"18.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,"18.000,00 "
,Décimo terceiro-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Férias-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Rescisão-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,INSS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,IRRF-ADM,,,,,,,"7.781,65 ",,,,,,,,,,,,,,,,,,,,,,,,,"7.781,65 "
,FGTS-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale transporte-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Vale Alimentação-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.200,00 ",,,"3.200,00 "
,Convênio Medico-ADM,,,,,,,,,,,,,,,,"1.914,25 ",,,,,,,,,,,,,,,,"1.914,25 "
,Exames ocupacionais-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Treinamento e Desenvolvimento-ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Confraternização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Consultoria de Recursos Humanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
,Uniformes e EPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00 "
