Conta,Subgrupo,Grupo,Escolha,
Vendas Cursos pelo o comercial,Receita,Receita,Usar,
Treinamentos B2B,Receita,Receita,Usar,
Treinamentos e consultorias B2B,Receita,Receita,Usar,
Treinamentos e consultorias Contratos antigos,Receita,Receita,Usar,
Vendas B2C - Marketing,Receita,Receita,Usar,
Venda B2C - Comercial,Receita,Receita,Usar,
Marketing B2B para clientes,Receita,Receita,Usar,
Vendas de Ferramentas,Receita,Receita,Usar,
Outras receitas,Receita,Receita,Usar,
Rendimentos de Aplicações Financeiras,Receita Financeira,Receita Financeira,Usar,
Juros e Descontos Obtidos,Receita Financeira,Receita Financeira,Usar,
Simples Nacional,Deduções da receita,Deduções,Usar,
Parcelamento Simples ,Deduções da receita,Deduções,Usar,
Fornecedores,Custos com Mercadorias Vendidas,Custos,Usar,
Compra de ferramentas para vendas,Custos com Mercadorias Vendidas,Custos,Usar,
Alimentação prestação de serviços,Custos com Serviços Prestados,Custos,Usar,
Locação de veículos,Custos com Serviços Prestados,Custos,Usar,
Materiais para treinamentos,Custos com Serviços Prestados,Custos,Usar,
Serviços de Terceiros,Custos com Serviços Prestados,Custos,Usar,
Hotel prestação de serviços,Custos com Serviços Prestados,Custos,Usar,
Passagem aérea,Custos com Serviços Prestados,Custos,Usar,
Comissão parceiros ,Custos com Serviços Prestados,Custos,Usar,
Comissão Junior,Custos com Serviços Prestados,Custos,Usar,
Comissão Otávio,Custos com Serviços Prestados,Custos,Usar,
Comissão lançamento de marketing,Custos com Serviços Prestados,Custos,Usar,
Comissão Closer,Custos com Serviços Prestados,Custos,Usar,
Comissão SDR,Custos com Serviços Prestados,Custos,Usar,
Comissão parceiros - Rolamentos,Custos com Serviços Prestados,Custos,Usar,
Outros custos de serviços prestados,Custos com Serviços Prestados,Custos,Usar,
Salário,Custos com Mão de Obra ,Custos,Usar,
Pró-Labore,Custos com Mão de Obra ,Custos,Usar,
Décimo terceiro,Custos com Mão de Obra ,Custos,Usar,
Férias,Custos com Mão de Obra ,Custos,Usar,
Rescisão,Custos com Mão de Obra ,Custos,Usar,
INSS ,Custos com Mão de Obra ,Custos,Usar,
FGTS,Custos com Mão de Obra ,Custos,Usar,
IRPF,Custos com Mão de Obra ,Custos,Usar,
Alimentação Escritório,Custos com Mão de Obra ,Custos,Usar,
Vale transporte,Custos com Mão de Obra ,Custos,Usar,
Treinamento e Desenvolvimento,Custos com Mão de Obra ,Custos,Usar,
Outras Custos com Mão de Obra Direta,Custos com Mão de Obra ,Custos,Usar,
Tarifas Bancárias,Despesas Financeiras,Despesas Operacionais,Usar,Manutenção de conta corrente é tarifa bancária
Tarifas de Cartão ,Despesas Financeiras,Despesas Operacionais,Usar,
IOF,Despesas Financeiras,Despesas Operacionais,Usar,
Juros e Multas Financeiras,Despesas Financeiras,Despesas Operacionais,Usar,
Outros despesas financeiras,Despesas Financeiras,Despesas Operacionais,Usar,
Telefone e Internet ,Despesas Administrativas,Despesas Operacionais,Usar,
Celular-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Energia Elétrica,Despesas Administrativas,Despesas Operacionais,Usar,
Aluguel e Condomínio,Despesas Administrativas,Despesas Operacionais,Usar,
Água,Despesas Administrativas,Despesas Operacionais,Usar,
IPTU e Taxas Públicas,Despesas Administrativas,Despesas Operacionais,Usar,
Despesas de Viagens-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Contabilidade,Despesas Administrativas,Despesas Operacionais,Usar,
Licenças de softwares,Despesas Administrativas,Despesas Operacionais,Usar,
Consultoria Financeira,Despesas Administrativas,Despesas Operacionais,Usar,
Serviços de terceiros-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Manutenção escritório,Despesas Administrativas,Despesas Operacionais,Usar,
Manutenção Máquinas e Equipamentos-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Materiais de Expediente/Escritório,Despesas Administrativas,Despesas Operacionais,Usar,
Faxina do escritório,Despesas Administrativas,Despesas Operacionais,Usar,
Seguros,Despesas Administrativas,Despesas Operacionais,Usar,
Gasolina / Combustível-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Estacionamento / Pedágios-ADM,Despesas Administrativas,Despesas Operacionais,Usar,
Reembolso,Despesas Administrativas,Despesas Operacionais,Usar,
